"id","homeClubName","guestClubName"
"1952","新疆喀什古城","九台农商银行"
"1953","天津滨海云商","青岛国信双星"
"1954","南京同曦","北京农商银行"
"1955","广州证券","上海哔哩哔哩"
"1956","广东东莞银行","深圳马可波罗"
"1957","山东高速","山西汾酒股份"
"1958","四川品胜","辽宁本钢"
"1959","江苏肯帝亚","北京首钢"
"1960","八一双鹿电池","浙江稠州银行"
"1961","浙江广厦控股","福建SBS"
"1962","天津滨海云商","上海哔哩哔哩"
"1963","深圳马可波罗","四川品胜"
"1964","广东东莞银行","广州证券"
"1965","南京同曦","北京首钢"
"1966","北京农商银行","山东高速"
"1967","青岛国信双星","山西汾酒股份"
"1968","九台农商银行","八一双鹿电池"
"1970","浙江稠州银行","浙江广厦控股"
"1971","福建SBS","江苏肯帝亚"
"1969","新疆喀什古城","辽宁本钢"
"1972","上海哔哩哔哩","广东东莞银行"
"1973","广州证券","四川品胜"
"1974","北京首钢","山东高速"
"1975","深圳马可波罗","新疆喀什古城"
"1976","山西汾酒股份","天津滨海云商"
"1977","辽宁本钢","八一双鹿电池"
"1978","北京农商银行","青岛国信双星"
"1979","九台农商银行","浙江广厦控股"
"1980","江苏肯帝亚","浙江稠州银行"
"1981","福建SBS","南京同曦"
"1982","广东东莞银行","四川品胜"
"1983","上海哔哩哔哩","山西汾酒股份"
"1984","广州证券","新疆喀什古城"
"1985","天津滨海云商","北京农商银行"
"1986","山东高速","福建SBS"
"1987","辽宁本钢","浙江广厦控股"
"1988","九台农商银行","江苏肯帝亚"
"1989","北京首钢","青岛国信双星"
"1990","浙江稠州银行","南京同曦"
"1991","八一双鹿电池","深圳马可波罗"
"1992","青岛国信双星","福建SBS"
"1993","天津滨海云商","北京首钢"
"1994","广东东莞银行","新疆喀什古城"
"1995","山东高速","浙江稠州银行"
"1996","南京同曦","九台农商银行"
"1997","山西汾酒股份","北京农商银行"
"1998","四川品胜","上海哔哩哔哩"
"1999","江苏肯帝亚","辽宁本钢"
"2000","八一双鹿电池","广州证券"
"2001","浙江广厦控股","深圳马可波罗"
"2002","青岛国信双星","浙江稠州银行"
"2003","九台农商银行","山东高速"
"2004","福建SBS","天津滨海云商"
"2005","上海哔哩哔哩","北京农商银行"
"2006","深圳马可波罗","江苏肯帝亚"
"2007","山西汾酒股份","北京首钢"
"2008","南京同曦","辽宁本钢"
"2010","广东东莞银行","八一双鹿电池"
"2011","浙江广厦控股","广州证券"
"2009","新疆喀什古城","四川品胜"
"2012","九台农商银行","青岛国信双星"
