id,win,lose,probability
1952,新疆喀什古城,九台农商银行,0.9554885666848327
1953,青岛国信双星,天津滨海云商,0.6836958208854321
1954,北京农商银行,南京同曦,0.8028741377645521
1955,上海哔哩哔哩,广州证券,0.5545546226323995
1956,深圳马可波罗,广东东莞银行,0.6201781875489952
1957,山东高速,山西汾酒股份,0.8811577072639994
1958,辽宁本钢,四川品胜,0.9908841628396432
1959,北京首钢,江苏肯帝亚,0.6859915174470159
1960,浙江稠州银行,八一双鹿电池,0.9862824865111693
1961,浙江广厦控股,福建SBS,0.9345113551132407
1962,上海哔哩哔哩,天津滨海云商,0.9431950121113266
1963,深圳马可波罗,四川品胜,0.9308810649969973
1964,广东东莞银行,广州证券,0.6742439856793461
1965,北京首钢,南京同曦,0.9431815103975574
1966,山东高速,北京农商银行,0.8979343037885446
1967,山西汾酒股份,青岛国信双星,0.7497767509666994
1968,九台农商银行,八一双鹿电池,0.5689693431021441
1970,浙江广厦控股,浙江稠州银行,0.9509515935285753
1971,江苏肯帝亚,福建SBS,0.8424285809111854
1969,辽宁本钢,新疆喀什古城,0.7979775908737521
1972,广东东莞银行,上海哔哩哔哩,0.9089416165949579
1973,广州证券,四川品胜,0.9213168024397214
1974,山东高速,北京首钢,0.7265364544727658
1975,新疆喀什古城,深圳马可波罗,0.6919674529517941
1976,山西汾酒股份,天津滨海云商,0.8188597569809953
1977,辽宁本钢,八一双鹿电池,0.9843047804394301
1978,北京农商银行,青岛国信双星,0.6709494763132893
1979,浙江广厦控股,九台农商银行,0.9925635316940239
1980,江苏肯帝亚,浙江稠州银行,0.61824482328162
1981,福建SBS,南京同曦,0.6122941414072327
1982,广东东莞银行,四川品胜,0.9517355356725352
1983,上海哔哩哔哩,山西汾酒股份,0.602075129844966
1984,新疆喀什古城,广州证券,0.7209667267077786
1985,北京农商银行,天津滨海云商,0.9023918661721532
1986,山东高速,福建SBS,0.8783206941872068
1987,浙江广厦控股,辽宁本钢,0.7374899138278336
1988,江苏肯帝亚,九台农商银行,0.9756610379032856
1989,北京首钢,青岛国信双星,0.8710014431541251
1990,浙江稠州银行,南京同曦,0.5918403788128062
1991,深圳马可波罗,八一双鹿电池,0.9959772971948647
1992,福建SBS,青岛国信双星,0.7547740529091355
1993,北京首钢,天津滨海云商,0.9741468458857833
1994,新疆喀什古城,广东东莞银行,0.6054066496648948
1995,山东高速,浙江稠州银行,0.7782029694294854
1996,南京同曦,九台农商银行,0.6926075611311618
1997,北京农商银行,山西汾酒股份,0.605481109327377
1998,上海哔哩哔哩,四川品胜,0.9548110349964962
1999,辽宁本钢,江苏肯帝亚,0.8320028143524021
2000,广州证券,八一双鹿电池,0.9865339027028444
2001,浙江广厦控股,深圳马可波罗,0.6682427217278087
2002,浙江稠州银行,青岛国信双星,0.863613971656671
2003,山东高速,九台农商银行,0.981926377642706
2004,福建SBS,天津滨海云商,0.8006313563255817
2005,北京农商银行,上海哔哩哔哩,0.5480028094144723
2006,江苏肯帝亚,深圳马可波罗,0.6509593469865381
2007,北京首钢,山西汾酒股份,0.8621659981633498
2008,辽宁本钢,南京同曦,0.9741143587714078
2010,广东东莞银行,八一双鹿电池,0.9764940289702569
2011,浙江广厦控股,广州证券,0.871914775118782
2009,新疆喀什古城,四川品胜,0.9499642675459602
2012,青岛国信双星,九台农商银行,0.7517747294402358
2013,浙江稠州银行,天津滨海云商,0.7866514121826108
2014,新疆喀什古城,上海哔哩哔哩,0.8188145614066931
2015,江苏肯帝亚,广州证券,0.6820453254637914
2016,深圳马可波罗,南京同曦,0.8190785632583402
2017,山东高速,辽宁本钢,0.5334824956821679
2018,四川品胜,八一双鹿电池,0.5924075366614434
2019,北京首钢,北京农商银行,0.8952792265607585
2020,广东东莞银行,浙江广厦控股,0.5074833308127357
2021,福建SBS,山西汾酒股份,0.5149882258519511
2022,广州证券,南京同曦,0.7974106290354828
2023,九台农商银行,天津滨海云商,0.5018485369069556
2024,辽宁本钢,青岛国信双星,0.9400730933928658
2025,福建SBS,北京农商银行,0.5401358857568458
2026,山西汾酒股份,浙江稠州银行,0.5063537384564906
2027,江苏肯帝亚,广东东莞银行,0.5601990578360011
2028,山东高速,深圳马可波罗,0.5046807832712046
2029,浙江广厦控股,四川品胜,0.991818099945494
2031,上海哔哩哔哩,北京首钢,0.5322047883994429
2030,新疆喀什古城,八一双鹿电池,0.9756080913628685
2032,辽宁本钢,天津滨海云商,0.9884285189030861
2033,深圳马可波罗,青岛国信双星,0.9561498948392304
2034,广东东莞银行,南京同曦,0.8689157532262122
2035,山东高速,广州证券,0.7749492569886837
2036,山西汾酒股份,九台农商银行,0.8567233303641081
2038,江苏肯帝亚,四川品胜,0.9380514306334167
2039,北京首钢,福建SBS,0.7381683507270652
2040,上海哔哩哔哩,八一双鹿电池,0.9911578102024293
2037,浙江广厦控股,新疆喀什古城,0.8149850017796861
2041,浙江稠州银行,北京农商银行,0.7072960966710329
2042,广州证券,青岛国信双星,0.8658077724841373
2043,深圳马可波罗,天津滨海云商,0.9200771921974105
2044,南京同曦,四川品胜,0.6658664971498394
2045,浙江广厦控股,八一双鹿电池,0.992734070691861
2046,上海哔哩哔哩,福建SBS,0.7562655914124761
2048,辽宁本钢,山西汾酒股份,0.9341243740618954
2049,北京农商银行,九台农商银行,0.813952064921463
2050,新疆喀什古城,江苏肯帝亚,0.666441924547456
2051,北京首钢,浙江稠州银行,0.5781228005980583
2047,广东东莞银行,山东高速,0.6707236264952088
2052,浙江广厦控股,上海哔哩哔哩,0.9258841783317486
2053,广州证券,天津滨海云商,0.9091638356186141
2054,广东东莞银行,青岛国信双星,0.9783808811374792
2055,深圳马可波罗,山西汾酒股份,0.752710719407445
2056,辽宁本钢,北京农商银行,0.7857597046151097
2057,山东高速,四川品胜,0.9801360163634997
2058,新疆喀什古城,南京同曦,0.9382016187813333
2059,北京首钢,九台农商银行,0.9814109888528579
2060,福建SBS,浙江稠州银行,0.5130552216756354
2061,江苏肯帝亚,八一双鹿电池,0.9948491829582822
2062,广州证券,山西汾酒股份,0.725755606761803
2063,广东东莞银行,天津滨海云商,0.9439952770595685
2064,青岛国信双星,四川品胜,0.7333762488745807
2065,深圳马可波罗,北京农商银行,0.8927159892901998
2067,南京同曦,八一双鹿电池,0.9581157962704633
2066,山东高速,新疆喀什古城,0.6419644459526673
2068,浙江稠州银行,上海哔哩哔哩,0.582755556658399
2069,北京首钢,辽宁本钢,0.5263477327360073
2070,浙江广厦控股,江苏肯帝亚,0.7208300177268209
2071,福建SBS,九台农商银行,0.8415679894316698
2072,四川品胜,天津滨海云商,0.532500093146385
2073,广东东莞银行,山西汾酒股份,0.8167394149300291
2074,山东高速,八一双鹿电池,0.9857373041765499
2075,广州证券,北京农商银行,0.7111633597786832
2076,新疆喀什古城,青岛国信双星,0.9091303255186781
2077,江苏肯帝亚,上海哔哩哔哩,0.5095076693231588
2078,深圳马可波罗,北京首钢,0.7153331808133393
2079,浙江稠州银行,九台农商银行,0.8298485183490251
2080,浙江广厦控股,南京同曦,0.9561423822792143
2081,辽宁本钢,福建SBS,0.9410461551937542
2082,青岛国信双星,八一双鹿电池,0.7567385802383757
2083,新疆喀什古城,天津滨海云商,0.9717997849683152
2084,山西汾酒股份,四川品胜,0.8409813210044308
2085,广东东莞银行,北京农商银行,0.9452655340776038
2086,深圳马可波罗,福建SBS,0.7476854261899282
2087,浙江广厦控股,山东高速,0.7182504694600231
2088,江苏肯帝亚,南京同曦,0.9264921263886395
2089,上海哔哩哔哩,九台农商银行,0.9587879872751941
2090,北京首钢,广州证券,0.5735424178387766
2091,辽宁本钢,浙江稠州银行,0.9456086949247772
2092,浙江广厦控股,青岛国信双星,0.9826500106542781
2093,新疆喀什古城,山西汾酒股份,0.8512056365155403
2094,山东高速,江苏肯帝亚,0.6921281147463684
2095,天津滨海云商,八一双鹿电池,0.8999600440858201
2096,北京农商银行,四川品胜,0.9216586702131164
2097,上海哔哩哔哩,南京同曦,0.692346836453298
2098,广州证券,福建SBS,0.7203860277303857
2099,深圳马可波罗,浙江稠州银行,0.5902278967292225
2100,辽宁本钢,九台农商银行,0.9711465166336781
2101,广东东莞银行,北京首钢,0.839108850533027
2103,江苏肯帝亚,青岛国信双星,0.8886351913911428
2104,山西汾酒股份,八一双鹿电池,0.9714478362176582
2105,浙江广厦控股,天津滨海云商,0.9822809597761643
2102,新疆喀什古城,北京农商银行,0.7005215895227874
2106,辽宁本钢,上海哔哩哔哩,0.9180459856229691
2107,广州证券,浙江稠州银行,0.5560087277748804
2108,广东东莞银行,福建SBS,0.8126914943438706
2109,北京首钢,四川品胜,0.9795706356954059
2110,山东高速,南京同曦,0.9446971014094682
2111,深圳马可波罗,九台农商银行,0.9383756084058659
2112,江苏肯帝亚,天津滨海云商,0.966227273782876
2113,北京农商银行,八一双鹿电池,0.890731015641949
2114,浙江广厦控股,山西汾酒股份,0.9361335191533667
2115,山东高速,上海哔哩哔哩,0.8356604879838931
2116,辽宁本钢,深圳马可波罗,0.8477531211523637
2117,广东东莞银行,浙江稠州银行,0.678349349861401
2118,南京同曦,青岛国信双星,0.512228492694614
2119,广州证券,九台农商银行,0.9382906011926568
2121,福建SBS,四川品胜,0.8245019417472694
2120,北京首钢,新疆喀什古城,0.635354752976897
2122,南京同曦,天津滨海云商,0.772128586812007
2123,江苏肯帝亚,山西汾酒股份,0.8260681643895521
2124,浙江广厦控股,北京农商银行,0.9557783865089535
2125,广东东莞银行,九台农商银行,0.99071065837595
2126,北京首钢,八一双鹿电池,0.9642772042386997
2127,浙江稠州银行,四川品胜,0.8118023754761806
2128,新疆喀什古城,福建SBS,0.8655863038220167
2129,上海哔哩哔哩,深圳马可波罗,0.5197802209706944
2130,山东高速,青岛国信双星,0.945318428315703
2131,辽宁本钢,广州证券,0.7575526761185503
2132,山西汾酒股份,南京同曦,0.639999527066279
2133,九台农商银行,四川品胜,0.5617840724156001
2134,江苏肯帝亚,北京农商银行,0.6510359936764832
2135,浙江广厦控股,北京首钢,0.8671455330534777
2136,新疆喀什古城,浙江稠州银行,0.8752144140535
2137,福建SBS,八一双鹿电池,0.9721823123907651
2138,深圳马可波罗,广州证券,0.7333178863355686
2139,上海哔哩哔哩,青岛国信双星,0.9080209264133647
2140,山东高速,天津滨海云商,0.9655674434798391
2141,广东东莞银行,辽宁本钢,0.6918159478032905
2142,北京农商银行,南京同曦,0.5653543729140953
2143,新疆喀什古城,九台农商银行,0.9797096621943948
2144,浙江稠州银行,八一双鹿电池,0.9008662498284172
2145,浙江广厦控股,福建SBS,0.9468120264619971
2146,广州证券,上海哔哩哔哩,0.5873081876467067
2147,青岛国信双星,天津滨海云商,0.5579514337770869
2148,广东东莞银行,深圳马可波罗,0.8322665780534295
2149,山东高速,山西汾酒股份,0.865534528919126
2150,辽宁本钢,四川品胜,0.9674994197284508
2151,江苏肯帝亚,北京首钢,0.662195685521152
2152,北京首钢,南京同曦,0.811575737873098
2153,浙江广厦控股,浙江稠州银行,0.8739945368668975
2154,九台农商银行,八一双鹿电池,0.8718129603845467
2155,上海哔哩哔哩,天津滨海云商,0.8512442202043013
2156,广东东莞银行,广州证券,0.8509035449089628
2157,山西汾酒股份,青岛国信双星,0.7359304165296564
2158,新疆喀什古城,辽宁本钢,0.5040447600345325
2159,山东高速,北京农商银行,0.8016622196417759
2160,深圳马可波罗,四川品胜,0.9790222450125379
2161,江苏肯帝亚,福建SBS,0.769147393195829
2162,山西汾酒股份,天津滨海云商,0.8344313511225212
2163,广东东莞银行,上海哔哩哔哩,0.5749623078681585
2164,浙江广厦控股,九台农商银行,0.9865460045473105
2165,北京农商银行,青岛国信双星,0.8460753792609474
2166,广州证券,四川品胜,0.9324749598053037
2168,江苏肯帝亚,浙江稠州银行,0.8534346128175596
2167,深圳马可波罗,新疆喀什古城,0.6290653563935364
2169,北京首钢,山东高速,0.5020813884028951
2170,福建SBS,南京同曦,0.6951798187353103
2171,辽宁本钢,八一双鹿电池,0.9982688955560738
2172,北京首钢,青岛国信双星,0.9572701073988019
2173,深圳马可波罗,八一双鹿电池,0.9659547124791481
2174,上海哔哩哔哩,山西汾酒股份,0.7337860564091155
2175,广东东莞银行,四川品胜,0.9897814067047489
2176,北京农商银行,天津滨海云商,0.7678482518207397
