"id","score","lose_score","wins","loses","wins_per","first_section","second_section","three_section","fourth_section","first_extra_section","second_extra_section","three_extra_section","fourth_extra_section","five_extra_section","six_extra_section","two_point_shot_goal","two_point_shot_total","two_point_shot_per","three_point_shot_goal","three_point_shot_total","three_point_shot_per","free_throw_goal","free_throw_total","free_throw_per","rebound_total","rebound_offensive","rebound_defenstive","fast_break_success","fast_break_total","dunk","block","steal","assist","fouled","foul","turnover","name"
"407749","116.32","103.42","31","7","0.82","27.87","30.5","30.92","26.34","0.68","0.0","0.0","0.0","0.0","0.0","33.95","59.71","0.57","9.71","27.71","0.35","19.29","24.18","0.8","45.84","13.84","32.0","0.0","0.0","1.89","2.18","10.42","21.08","23.87","21.34","12.76","浙江广厦控股"
"407753","116.08","114.13","16","22","0.42","25.97","30.63","29.42","28.89","0.92","0.24","0.0","0.0","0.0","0.0","29.68","54.84","0.54","13.42","33.97","0.4","16.45","21.16","0.78","44.61","13.55","31.05","0.0","0.0","2.76","2.5","7.76","18.87","19.82","19.76","11.95","福建SBS"
"407723","114.97","106.47","27","11","0.71","25.5","31.61","30.63","26.53","0.71","0.0","0.0","0.0","0.0","0.0","31.79","54.58","0.58","10.21","28.37","0.36","20.76","27.71","0.75","42.92","12.92","30.0","0.0","0.0","3.74","2.89","10.45","19.95","24.71","24.0","12.71","山东高速"
"407727","114.18","114.37","21","17","0.55","27.37","28.63","30.32","26.66","1.21","0.0","0.0","0.0","0.0","0.0","30.97","59.08","0.52","8.5","24.76","0.34","26.74","33.24","0.8","43.05","14.89","28.16","0.0","0.0","2.34","2.18","9.42","14.5","28.18","26.58","12.37","广州证券"
"407735","113.63","115.5","16","22","0.42","26.55","29.68","30.95","26.18","0.26","0.0","0.0","0.0","0.0","0.0","32.58","56.55","0.58","10.16","29.63","0.34","17.97","25.34","0.71","44.13","11.45","32.68","0.0","0.0","1.39","2.71","8.18","21.58","22.61","22.34","14.11","山西汾酒股份"
"407745","113.29","108.71","25","13","0.66","27.79","28.39","27.71","29.08","0.32","0.0","0.0","0.0","0.0","0.0","28.08","49.79","0.56","13.42","36.92","0.36","16.74","21.89","0.76","42.76","13.68","29.08","0.0","0.0","1.42","2.79","8.79","18.5","20.87","20.13","11.97","新疆喀什古城"
"407739","108.13","104.08","26","12","0.68","24.63","27.63","28.55","26.0","1.32","0.0","0.0","0.0","0.0","0.0","30.89","56.89","0.54","9.42","24.68","0.38","18.08","23.21","0.78","40.87","11.58","29.29","0.0","0.0","3.58","3.08","9.82","17.58","24.03","25.95","13.08","江苏肯帝亚"
"407731","108.11","98.95","29","9","0.76","25.79","27.13","27.47","27.21","0.5","0.0","0.0","0.0","0.0","0.0","29.84","53.16","0.56","11.13","30.61","0.36","15.03","18.66","0.81","42.42","12.08","30.34","0.0","0.0","4.05","2.82","9.84","20.47","18.63","22.29","12.0","辽宁本钢"
"407719","108.05","113.71","11","27","0.29","24.74","26.18","28.89","28.24","0.0","0.0","0.0","0.0","0.0","0.0","29.63","55.47","0.53","9.66","27.79","0.35","19.82","26.47","0.75","40.32","12.13","28.18","0.0","0.0","0.84","2.66","7.71","15.03","24.45","21.92","12.74","青岛国信双星"
"407725","107.84","103.66","25","13","0.66","26.61","27.13","27.26","25.95","0.89","0.0","0.0","0.0","0.0","0.0","31.24","57.68","0.54","9.18","25.16","0.37","17.82","24.97","0.71","45.63","12.76","32.87","0.0","0.0","2.47","3.63","8.16","15.68","23.92","22.13","13.13","深圳马可波罗"
"407717","106.63","105.05","20","18","0.53","23.16","28.76","28.89","24.97","0.84","0.0","0.0","0.0","0.0","0.0","25.58","49.97","0.51","12.61","32.21","0.39","17.66","21.58","0.82","39.53","9.84","29.68","0.0","0.0","2.47","3.16","8.16","16.0","20.66","19.61","11.55","上海哔哩哔哩"
"407733","106.11","111.16","15","23","0.39","25.13","26.21","27.89","26.39","0.47","0.0","0.0","0.0","0.0","0.0","31.16","58.24","0.54","8.84","27.18","0.33","17.26","23.97","0.72","43.13","13.42","29.71","0.0","0.0","2.11","2.55","8.37","18.61","21.92","21.34","13.0","南京同曦"
