"id","WLoc","WTeam","LTeam"
"1952","H","新疆喀什古城","九台农商银行"
"1953","V","青岛国信双星","天津滨海云商"
"1954","H","南京同曦","北京农商银行"
"1955","H","广州证券","上海哔哩哔哩"
"1956","H","广东东莞银行","深圳马可波罗"
"1957","H","山东高速","山西汾酒股份"
"1958","V","辽宁本钢","四川品胜"
"1959","H","江苏肯帝亚","北京首钢"
"1960","V","浙江稠州银行","八一双鹿电池"
"1961","H","浙江广厦控股","福建SBS"
"1962","V","上海哔哩哔哩","天津滨海云商"
"1963","H","深圳马可波罗","四川品胜"
"1964","H","广东东莞银行","广州证券"
"1965","V","北京首钢","南京同曦"
"1966","H","北京农商银行","山东高速"
"1967","V","山西汾酒股份","青岛国信双星"
"1968","H","九台农商银行","八一双鹿电池"
"1970","V","浙江广厦控股","浙江稠州银行"
"1971","V","江苏肯帝亚","福建SBS"
"1969","V","辽宁本钢","新疆喀什古城"
"1972","V","广东东莞银行","上海哔哩哔哩"
"1973","H","广州证券","四川品胜"
"1974","V","山东高速","北京首钢"
"1975","V","新疆喀什古城","深圳马可波罗"
"1976","H","山西汾酒股份","天津滨海云商"
"1977","H","辽宁本钢","八一双鹿电池"
"1978","H","北京农商银行","青岛国信双星"
"1979","V","浙江广厦控股","九台农商银行"
"1980","H","江苏肯帝亚","浙江稠州银行"
"1981","V","南京同曦","福建SBS"
"1982","H","广东东莞银行","四川品胜"
"1983","H","上海哔哩哔哩","山西汾酒股份"
"1984","V","新疆喀什古城","广州证券"
"1985","H","天津滨海云商","北京农商银行"
"1986","H","山东高速","福建SBS"
"1987","V","浙江广厦控股","辽宁本钢"
"1988","V","江苏肯帝亚","九台农商银行"
"1989","H","北京首钢","青岛国信双星"
"1990","H","浙江稠州银行","南京同曦"
"1991","V","深圳马可波罗","八一双鹿电池"
"1992","V","福建SBS","青岛国信双星"
"1993","V","北京首钢","天津滨海云商"
"1994","H","广东东莞银行","新疆喀什古城"
"1995","H","山东高速","浙江稠州银行"
"1996","H","南京同曦","九台农商银行"
"1997","V","北京农商银行","山西汾酒股份"
"1998","V","上海哔哩哔哩","四川品胜"
"1999","V","辽宁本钢","江苏肯帝亚"
"2000","V","广州证券","八一双鹿电池"
"2001","H","浙江广厦控股","深圳马可波罗"
"2002","V","浙江稠州银行","青岛国信双星"
"2003","V","山东高速","九台农商银行"
"2004","H","福建SBS","天津滨海云商"
"2005","H","上海哔哩哔哩","北京农商银行"
"2006","H","深圳马可波罗","江苏肯帝亚"
"2007","V","北京首钢","山西汾酒股份"
"2008","H","南京同曦","辽宁本钢"
"2010","H","广东东莞银行","八一双鹿电池"
"2011","V","广州证券","浙江广厦控股"
"2009","H","新疆喀什古城","四川品胜"
"2012","H","九台农商银行","青岛国信双星"
"2013","H","浙江稠州银行","天津滨海云商"
"2014","H","上海哔哩哔哩","新疆喀什古城"
"2015","V","江苏肯帝亚","广州证券"
"2016","H","深圳马可波罗","南京同曦"
"2017","H","辽宁本钢","山东高速"
"2018","H","四川品胜","八一双鹿电池"
"2019","H","北京农商银行","北京首钢"
"2020","H","浙江广厦控股","广东东莞银行"
"2021","H","福建SBS","山西汾酒股份"
"2022","H","广州证券","南京同曦"
"2023","H","天津滨海云商","九台农商银行"
"2024","H","辽宁本钢","青岛国信双星"
"2025","V","福建SBS","北京农商银行"
"2026","H","浙江稠州银行","山西汾酒股份"
"2027","V","江苏肯帝亚","广东东莞银行"
"2028","H","山东高速","深圳马可波罗"
"2029","H","四川品胜","浙江广厦控股"
"2031","H","北京首钢","上海哔哩哔哩"
"2030","H","新疆喀什古城","八一双鹿电池"
"2032","V","辽宁本钢","天津滨海云商"
"2033","V","深圳马可波罗","青岛国信双星"
"2034","H","广东东莞银行","南京同曦"
"2035","H","山东高速","广州证券"
"2036","H","山西汾酒股份","九台农商银行"
"2038","H","江苏肯帝亚","四川品胜"
"2039","H","北京首钢","福建SBS"
"2040","V","上海哔哩哔哩","八一双鹿电池"
"2037","H","新疆喀什古城","浙江广厦控股"
"2041","V","浙江稠州银行","北京农商银行"
"2042","H","青岛国信双星","广州证券"
"2043","H","深圳马可波罗","天津滨海云商"
"2044","H","南京同曦","四川品胜"
"2045","H","浙江广厦控股","八一双鹿电池"
"2046","H","福建SBS","上海哔哩哔哩"
"2048","V","辽宁本钢","山西汾酒股份"
"2049","H","北京农商银行","九台农商银行"
"2050","H","江苏肯帝亚","新疆喀什古城"
"2051","H","北京首钢","浙江稠州银行"
"2047","H","山东高速","广东东莞银行"
"2052","V","浙江广厦控股","上海哔哩哔哩"
"2053","H","广州证券","天津滨海云商"
"2054","V","广东东莞银行","青岛国信双星"
"2055","H","深圳马可波罗","山西汾酒股份"
"2056","H","辽宁本钢","北京农商银行"
"2057","V","山东高速","四川品胜"
"2058","H","南京同曦","新疆喀什古城"
"2059","H","九台农商银行","北京首钢"
"2060","H","浙江稠州银行","福建SBS"
"2061","V","江苏肯帝亚","八一双鹿电池"
"2062","H","广州证券","山西汾酒股份"
"2063","H","广东东莞银行","天津滨海云商"
"2064","V","青岛国信双星","四川品胜"
"2065","V","深圳马可波罗","北京农商银行"
"2067","V","南京同曦","八一双鹿电池"
"2066","H","新疆喀什古城","山东高速"
"2068","V","浙江稠州银行","上海哔哩哔哩"
"2069","H","辽宁本钢","北京首钢"
"2070","H","浙江广厦控股","江苏肯帝亚"
"2071","H","福建SBS","九台农商银行"
"2072","H","天津滨海云商","四川品胜"
"2073","H","广东东莞银行","山西汾酒股份"
"2074","H","山东高速","八一双鹿电池"
"2075","H","北京农商银行","广州证券"
"2076","H","新疆喀什古城","青岛国信双星"
"2077","H","江苏肯帝亚","上海哔哩哔哩"
"2078","H","北京首钢","深圳马可波罗"
"2079","H","浙江稠州银行","九台农商银行"
"2080","H","浙江广厦控股","南京同曦"
"2081","V","辽宁本钢","福建SBS"
"2082","H","青岛国信双星","八一双鹿电池"
"2083","V","新疆喀什古城","天津滨海云商"
"2084","H","山西汾酒股份","四川品胜"
"2085","H","北京农商银行","广东东莞银行"
"2086","H","深圳马可波罗","福建SBS"
"2087","H","山东高速","浙江广厦控股"
"2088","V","江苏肯帝亚","南京同曦"
"2089","V","上海哔哩哔哩","九台农商银行"
"2090","H","北京首钢","广州证券"
"2091","H","浙江稠州银行","辽宁本钢"
"2092","V","浙江广厦控股","青岛国信双星"
"2093","H","山西汾酒股份","新疆喀什古城"
"2094","V","山东高速","江苏肯帝亚"
"2095","H","八一双鹿电池","天津滨海云商"
"2096","V","北京农商银行","四川品胜"
"2097","V","南京同曦","上海哔哩哔哩"
"2098","H","广州证券","福建SBS"
"2099","H","深圳马可波罗","浙江稠州银行"
"2100","H","辽宁本钢","九台农商银行"
"2101","H","北京首钢","广东东莞银行"
"2103","H","江苏肯帝亚","青岛国信双星"
"2104","V","山西汾酒股份","八一双鹿电池"
"2105","H","浙江广厦控股","天津滨海云商"
"2102","H","新疆喀什古城","北京农商银行"
"2106","V","辽宁本钢","上海哔哩哔哩"
"2107","H","广州证券","浙江稠州银行"
"2108","H","广东东莞银行","福建SBS"
"2109","V","北京首钢","四川品胜"
"2110","V","山东高速","南京同曦"
"2111","H","深圳马可波罗","九台农商银行"
"2112","V","江苏肯帝亚","天津滨海云商"
"2113","H","北京农商银行","八一双鹿电池"
"2114","H","浙江广厦控股","山西汾酒股份"
"2115","H","上海哔哩哔哩","山东高速"
"2116","H","深圳马可波罗","辽宁本钢"
"2117","H","广东东莞银行","浙江稠州银行"
"2118","V","青岛国信双星","南京同曦"
"2119","H","九台农商银行","广州证券"
"2121","H","福建SBS","四川品胜"
"2120","H","新疆喀什古城","北京首钢"
"2122","H","天津滨海云商","南京同曦"
"2123","V","江苏肯帝亚","山西汾酒股份"
"2124","V","浙江广厦控股","北京农商银行"
"2125","V","广东东莞银行","九台农商银行"
"2126","H","北京首钢","八一双鹿电池"
"2127","H","浙江稠州银行","四川品胜"
"2128","H","福建SBS","新疆喀什古城"
"2129","H","深圳马可波罗","上海哔哩哔哩"
"2130","V","青岛国信双星","山东高速"
"2131","V","广州证券","辽宁本钢"
"2132","V","南京同曦","山西汾酒股份"
"2133","V","九台农商银行","四川品胜"
"2134","H","江苏肯帝亚","北京农商银行"
"2135","V","浙江广厦控股","北京首钢"
"2136","H","浙江稠州银行","新疆喀什古城"
"2137","H","八一双鹿电池","福建SBS"
"2138","V","深圳马可波罗","广州证券"
"2139","V","上海哔哩哔哩","青岛国信双星"
"2140","H","山东高速","天津滨海云商"
"2141","H","辽宁本钢","广东东莞银行"
"2142","H","北京农商银行","南京同曦"
"2143","V","新疆喀什古城","九台农商银行"
"2144","H","浙江稠州银行","八一双鹿电池"
"2145","V","浙江广厦控股","福建SBS"
"2146","V","广州证券","上海哔哩哔哩"
"2147","H","青岛国信双星","天津滨海云商"
"2148","V","广东东莞银行","深圳马可波罗"
"2149","H","山西汾酒股份","山东高速"
"2150","H","辽宁本钢","四川品胜"
"2151","V","江苏肯帝亚","北京首钢"
"2152","H","北京首钢","南京同曦"
"2153","H","浙江广厦控股","浙江稠州银行"
"2154","H","八一双鹿电池","九台农商银行"
"2155","H","上海哔哩哔哩","天津滨海云商"
"2156","V","广东东莞银行","广州证券"
"2157","H","山西汾酒股份","青岛国信双星"
"2158","H","辽宁本钢","新疆喀什古城"
"2159","H","山东高速","北京农商银行"
"2160","H","四川品胜","深圳马可波罗"
"2161","H","江苏肯帝亚","福建SBS"
"2162","V","山西汾酒股份","天津滨海云商"
"2163","H","广东东莞银行","上海哔哩哔哩"
"2164","H","浙江广厦控股","九台农商银行"
"2165","V","北京农商银行","青岛国信双星"
